id,skill,difficulty,stem,optionA,optionB,optionC,optionD,answer,commentary
q001,ai_fundamentals,easy,"Qual é o principal objetivo da Inteligência Artificial?","Replicar a inteligência humana em máquinas","Criar apenas robôs físicos","Substituir todos os trabalhos humanos","Automatizar apenas tarefas repetitivas",1,"O objetivo central da IA é criar sistemas capazes de executar tarefas que normalmente exigiriam inteligência humana."
q002,ai_fundamentals,medium,"Quem é considerado o ""pai"" da Inteligência Artificial?","Alan Turing","John McCarthy","Geoffrey Hinton","Andrew Ng",2,"John McCarthy cunhou o termo ""Inteligência Artificial"" em 1956."
q003,ai_fundamentals,hard,"O que é a Lei de Moore e como ela influenciou a IA?","Afirma que o poder de processamento dobra a cada 18–24 meses","Afirma que a quantidade de dados dobra a cada ano","Afirma que redes neurais dobram de tamanho anualmente","Afirma que o custo de IA cai pela metade todo ano",1,"A Lei de Moore impulsionou o avanço da IA ao permitir processamentos mais rápidos e baratos."
q004,ai_fundamentals,easy,"O que são agentes inteligentes?","Programas que percebem o ambiente e tomam ações","Dispositivos físicos apenas","Redes neurais artificiais","Robôs humanoides",1,"Agentes inteligentes percebem e agem no ambiente para atingir objetivos."
q005,ai_fundamentals,medium,"Qual destes NÃO é um campo da IA?","Processamento de linguagem natural","Visão computacional","Teoria dos Números","Aprendizado por reforço",3,"Engenharia civil não é um campo da IA, embora possa se beneficiar de aplicações dela."
q006,ai_fundamentals,hard,"O que é a abordagem conexionista na IA?","Baseada em redes neurais artificiais","Baseada em lógica simbólica","Baseada em árvores de decisão","Baseada em estatísticas descritivas",1,"A abordagem conexionista modela a IA inspirando-se no funcionamento do cérebro (redes neurais)."
q007,ai_fundamentals,easy,"O que é raciocínio lógico na IA?","Capacidade de tomar decisões com base em regras e fatos","Capacidade de aprender a partir de dados","Capacidade de ver imagens","Capacidade de traduzir textos",1,"Raciocínio lógico aplica regras para chegar a conclusões a partir de fatos conhecidos."
q008,ai_fundamentals,medium,"O que significa ""IA Forte""?","IA que supera a inteligência humana","IA que pode realizar tarefas específicas","IA com consciência e compreensão","IA usada em máquinas industriais",3,"IA forte se refere a sistemas com capacidades cognitivas semelhantes às humanas (consciência/conhecimento)."
q009,ai_fundamentals,hard,"Qual a diferença entre IA simbólica e IA conexionista?","Simbólica usa regras explícitas; conexionista usa redes neurais","Simbólica usa redes neurais; conexionista usa estatísticas","Simbólica é mais rápida; conexionista é mais lenta","Simbólica é física; conexionista é digital",1,"IA simbólica representa conhecimento com símbolos e regras; a conexionista usa redes neurais e aprendizagem."
q010,ai_fundamentals,medium,"O que é um sistema especialista?","Um sistema que aplica conhecimento específico para resolver problemas","Um sistema que armazena grandes quantidades de dados","Um sistema de busca na internet","Um robô industrial",1,"Sistemas especialistas usam regras e uma base de conhecimento para resolver problemas de um domínio específico."
q011,genai,easy,"Qual é um exemplo de IA generativa?","ChatGPT","Excel","PowerPoint","Google Search",1,"IA generativa cria novos conteúdos, como textos, imagens ou áudio."
q012,genai,medium,"O que significa o termo ""prompt"" em IA generativa?","Instrução fornecida ao modelo","Erro no processamento","Modelo de rede neural","Tipo de dado",1,"O prompt é a entrada (texto/estrutura) que guia a geração do modelo."
q013,genai,hard,"O que é fine-tuning?","Treinar um modelo do zero","Adaptar um modelo pré-treinado a uma tarefa específica","Coletar dados para treinamento","Desativar partes de uma rede neural",2,"Fine-tuning ajusta um modelo pré-treinado para performar melhor em uma tarefa/dados específicos."
q014,genai,easy,"Qual destes modelos é usado para gerar imagens?","DALL·E","MySQL","Excel","Power BI",1,"DALL·E é um modelo de IA generativa para criação de imagens."
q015,genai,medium,"O que é ""alucinação"" em IA generativa?","Geração de respostas falsas ou imprecisas","Erro de hardware","Processo criativo","Modo de treino",1,"Alucinação ocorre quando o modelo gera informações incorretas ou inventadas."
q016,genai,hard,"O que é um ""diffusion model""?","Modelo para criar imagens a partir de ruído","Modelo de compressão de dados","Modelo de tradução de idiomas","Modelo de detecção de fraude",1,"Modelos de difusão geram imagens refinando um ruído inicial por etapas."
q017,genai,easy,"Qual é a principal diferença entre IA generativa e IA discriminativa?","Generativa cria dados; discriminativa classifica dados","Generativa classifica dados; discriminativa cria dados","Ambas criam dados","Ambas classificam dados",1,"IA generativa cria novos exemplos; IA discriminativa aprende fronteiras para classificar exemplos."
q018,genai,medium,"O que é ""context window""?","Limite de informações que um modelo pode considerar","Tempo de execução do modelo","Quantidade de dados de treino","Capacidade de memória RAM",1,"Context window é o número máximo de tokens considerados pelo modelo em uma interação."
q019,genai,hard,"O que é ""zero-shot learning""?","Aprender sem exemplos específicos de treino","Aprender com poucos exemplos","Aprender com milhões de exemplos","Aprender com dados não rotulados",1,"Zero-shot permite resolver tarefas sem exemplos específicos daquela tarefa no treino."
q020,genai,medium,"O que é ""prompt engineering""?","Arte de criar instruções eficazes para IA generativa","Criar redes neurais","Criar modelos do zero","Coletar dados para treino",1,"Prompt engineering busca instruções/formatações que maximizem a qualidade das respostas do modelo."
q021,ml,easy,"Qual técnica é usada para identificar padrões em dados sem rótulos?","Aprendizado não supervisionado","Aprendizado supervisionado","Aprendizado por reforço","Aprendizado simbólico",1,"Aprendizado não supervisionado encontra estruturas/padrões em dados sem rótulos."
